3d3                | 4F     |  3/2 |               0.0    |     L7185
                   |        |  3/2 |          374425.6    |          
                   |        |      |                      |           
3d2.(1G).4p        | 2F*    |  7/2 |          377951.8    |          
                   |        |  5/2 |          379077.6    |          
                   |        |      |                      |           
3d2.(1S).4p        | 2P*    |  1/2 |          408207.4    |          
                   |        |  3/2 |          410389.5    |          
                   |        |      |                      |           
3p5.(2P*).3d4.(1G) | 2G*    |  7/2 |          575930      |          
                   |        |  9/2 |          576990      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(5D) | 4D*    |  1/2 |          603210      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(3H) | 2H*    |  9/2 |          603340      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(5D) | 4D*    |  3/2 |          604230      |          
                   |        |  5/2 |          605420      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(3H) | 2H*    | 11/2 |          605740      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(5D) | 4D*    |  7/2 |          606230      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(3F) | 2D*    |  5/2 |          617520      |          
                   |        |  3/2 |          618290      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(3H) | 2G*    |  9/2 |          630240      |          
                   |        |  7/2 |          631240      |          
                   |        |      |                      |           
3p5.(2P*).3d4.(3G) | 2F*    |  7/2 |          634170      |          
                   |        |  5/2 |          635430      |          
