3d3              | 4F     |  3/2 |                0.0    |       L7185
                 |        |      |                       |             
3d2.(3P).4d      | 4D     |  1/2 |           251095.6    |            
                 |        |  5/2 |           251137.8    |            
                 |        |  7/2 |           251342.7    |            
                 |        |      |                       |             
3d2.(3F).5s      | 4F     |  3/2 |           251563.9    |            
                 |        |  5/2 |           251807.0    |            
                 |        |  7/2 |           252188.3    |            
                 |        |      |                       |             
3d2.(3P).4d      | 2F     |  5/2 |           252464.8    |            
                 |        |  7/2 |           252532.8    |            
                 |        |      |                       |             
3d2.(3F).5s      | 4F     |  9/2 |           252694.5    |            
                 |        |      |                       |             
3d2.(3F).5s      | 2F     |  5/2 |           253476.1    |            
                 |        |  7/2 |           254212.1    |            
                 |        |      |                       |             
3d2.(3P).4d      | 4P     |  5/2 |           254534.6    |            
                 |        |      |                       |             
3d2.(3P).4d      | 2D     |  3/2 |           255662.3    |            
                 |        |      |                       |             
3d2.(1D).4d      | 2P     |  1/2 |           255803.6    |            
                 |        |      |                       |             
3d2.(3P).4d      | 2D     |  5/2 |           255836.9    |            
                 |        |      |                       |             
3d2.(1D).4d      | 2P     |  3/2 |           256306.2    |            
                 |        |      |                       |             
3d2.(1G).4d      | 2I     | 11/2 |           256853.2    |            
                 |        | 13/2 |           256885.4    |            
                 |        |      |                       |             
3d2.(1G).4d      | 2G     |  7/2 |           257588.6    |            
                 |        |  9/2 |           257714.4    |            
                 |        |      |                       |             
3d2.(1G).4d      | 2H     |  9/2 |           259755.4    |            
                 |        | 11/2 |           259799.6    |            
                 |        |      |                       |             
3d2.(1G).4d      | 2F     |  7/2 |           263875.9    |            
                 |        |  5/2 |           263971.0    |            
                 |        |      |                       |             
3d2.(1D).5s      | 2D     |  5/2 |           265031.6    |            
                 |        |  3/2 |           265048.6    |            
                 |        |      |                       |             
3d2.(1G).4d      | 2D     |  3/2 |           266878.0    |            
                 |        |  5/2 |           266931.7    |            
                 |        |      |                       |             
3d2.(3P).5s      | 4P     |  1/2 |           266946.6    |            
                 |        |  3/2 |           267130.4    |            
                 |        |  5/2 |           267469.0    |            
                 |        |      |                       |             
3d2.(3P).5s      | 2P     |  1/2 |           268458.1    |            
                 |        |  3/2 |           268813.4    |            
                 |        |      |                       |             
3d2.(1G).5s      | 2G     |  9/2 |           273865.3    |            
                 |        |  7/2 |           273866.6    |            
