4f7                       | 8S*       |  7/2 |              0.00    |       L3974
4f6.(7F<3>).6p<3/2>       | (3,3/2)*  |  3/2 |          86933.53    |            
                          |           |      |                      |             
4f6.(7F<4>).6p<3/2>       | (4,3/2)*  |  7/2 |          86944.83    |            
                          |           |      |                      |             
4f6.(7F<5>).6p<3/2>       | (5,3/2)*  | 13/2 |          87041.33    |            
                          |           |      |                      |             
4f6.(7F<6>).6p<3/2>       | (6,3/2)*  | 15/2 |          87710.15    |            
                          |           |      |                      |             
4f6.(7F<4>).6p<3/2>       | (4,3/2)*  |  5/2 |          87820.98    |            
                          |           |      |                      |             
4f6.(7F<5>).6p<3/2>       | (5,3/2)*  | 11/2 |          87959.80    |            
                          |           |  9/2 |          88166.46    |            
                          |           |  7/2 |          88753.45    |            
                          |           |      |                      |             
4f6.(7F<6>).6p<3/2>       | (6,3/2)*  | 13/2 |          89178.53    |            
                          |           |  9/2 |          89639.17    |            
                          |           | 11/2 |          90155.04    |            
